$ python tools/unitytex17.py list Monstrum/Monstrum_Data
NAME                                         W     H FORMAT   MIPS       BYTES CLOSE ARITH  WHERE
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
                                            64    64 ARGB32      1       16384 yes   yes    inline
SpriteAtlasTexture-srdebugger_default_pi   512   128 RGBA32      1      262144 yes   yes    resources.assets.resS+0
SpriteAtlasTexture-srdebugger_default (G   256   256 RGB24       1      196608 yes   yes    resources.assets.resS+262144
SpriteAtlasTexture-srdebugger_default (G   512   256 RGBA32      1      524288 yes   yes    resources.assets.resS+458752
Checkmark                                   64    64 RGBA32      7       21844 yes   yes    resources.assets.resS+983040
Font Texture                                 0     0 RGBA32      1           0 yes   yes    none
Font Texture                                 0     0 RGBA32      1           0 yes   yes    none
Font Texture                                 0     0 RGBA32      1           0 yes   yes    none
SimpleCursor                               512   512 DXT5       10      349552 yes   yes    resources.assets.resS+1004884
Font Texture                                 0     0 RGBA32      1           0 yes   yes    none
Font Texture                                 0     0 RGBA32      1           0 yes   yes    none
UISprite                                    32    32 RGBA32      6        5460 yes   yes    sharedassets0.assets.resS+0
Background                                  32    32 RGBA32      6        5460 yes   yes    sharedassets0.assets.resS+5460
Knob                                        64    64 RGBA32      7       21844 yes   yes    sharedassets0.assets.resS+10920
Menu_Gamma_Symbol02_01                     304    98 RGBA32      1      119168 yes   yes    sharedassets0.assets.resS+32764
Font Texture                                 0     0 RGBA32      1           0 yes   yes    none
UI_Pointer01_01_Dif - Copy                  64    64 RGBA32      7       21844 yes   yes    sharedassets0.assets.resS+151932
Menu_Gamma_Symbol03_01                     304    98 RGBA32      1      119168 yes   yes    sharedassets0.assets.resS+173776
Menu_Gamma_Symbol01_01                     304    98 RGBA32      1      119168 yes   yes    sharedassets0.assets.resS+292944
Oculus                                     530   298 RGBA32     10      841664 yes   yes    sharedassets0.assets.resS+412112
InputFieldBackground                        32    32 RGBA32      6        5460 yes   yes    sharedassets1.assets.resS+0
Menu_Loading_HintBackground05_01_Dif      1920  1080 RGB24       1     6220800 yes   yes    sharedassets1.assets.resS+5460
Misc_Wood04_01_Diffuse                     256   256 DXT5        9       87408 yes   yes    sharedassets1.assets.resS+6226260
OptionsBarSelect                           301    36 RGBA32      1       43344 yes   yes    sharedassets1.assets.resS+6313668
Upd_Misc_Book01_02_Dif                    1024  1024 DXT5       11     1398128 yes   yes    sharedassets1.assets.resS+6357012
